,NUM_COMMANDE,QUANTITE,PRIX_UNITAIRE,MONTANT,DATE_COMMANDE,STATUT,TRIMESTRE,MOIS,ANNEE,TYPE_PRODUIT,CODE_PRODUIT,CLIENT,TELEPHONE,ADRESSE_1,ADRESSE_2,VILLE,ETAT,CODE_POSTAL,PAYS,ZONE_GEOGRAPHIQUE,NOM_CONTACT,PRENOM_CONTACT
84,10159,22,187.81,4131.82,2003/10/10,Envoyé,4,10,2003,Motos,S10_4698,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,,San Francisco,CA,,USA,,Brown,Julie
85,10168,20,209.15,4183.0,10/28/2003 0:00,Envoyé,4,10,2003,Motos,S10_4698,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,,Hirano,Juri
86,10180,41,216.87,8891.67,2003/11/11,Envoyé,4,11,2003,Motos,S10_4698,Daedalus Designs Imports,20.16.1555,"184, chaussée de Tournai",,Lille,,59000,France,EMEA,Rancé,Martine
87,10188,45,193.64,8713.79,11/18/2003 0:00,Envoyé,4,11,2003,Motos,S10_4698,Herkku Gifts,4722673215,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway,EMEA,Oeztan,Veysel
88,10201,49,164.61,8065.89,2003/01/12,Envoyé,4,12,2003,Motos,S10_4698,Mini Wheels Co.,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,,Murphy,Julie
89,10210,34,180.08,6122.72,2004/12/01,Envoyé,1,1,2004,Motos,S10_4698,Osaka Souveniers Co.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",,Osaka,Osaka,530-0003,Japan,Japan,Kentary,Mory
90,10223,49,199.46,9773.54,2/20/2004 0:00,Envoyé,1,2,2004,Motos,S10_4698,"Australian Collectors, Co.",395204555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter
91,10237,39,180.07,7022.73,2004/05/04,Envoyé,2,4,2004,Motos,S10_4698,Vitachrome Inc.,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,,Frick,Michael
92,10251,43,164.6,7077.8,5/18/2004 0:00,Envoyé,2,5,2004,Motos,S10_4698,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,,Newark,NJ,94019,USA,,Brown,William
93,10263,41,203.34,8336.94,6/28/2004 0:00,Envoyé,2,6,2004,Motos,S10_4698,Gift Depot Inc.,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,USA,,King,Julie
94,10275,36,191.71,6901.56,7/23/2004 0:00,Envoyé,3,7,2004,Motos,S10_4698,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA,Labrune,Janine
95,10285,27,201.4,5437.8,8/27/2004 0:00,Envoyé,3,8,2004,Motos,S10_4698,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA,,Hernandez,Marta
96,10299,29,230.45,6683.04,9/30/2004 0:00,Envoyé,3,9,2004,Motos,S10_4698,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,,Helsinki,,21240,Finland,EMEA,Karttunen,Matti
97,10308,20,228.5,4570.0,10/15/2004 0:00,Envoyé,4,10,2004,Motos,S10_4698,Mini Classics,9145554562,3758 North Pendale Street,,White Plains,NY,24067,USA,,Frick,Steve
98,10318,37,207.22,7667.14,2004/02/11,Envoyé,4,11,2004,Motos,S10_4698,Diecast Classics Inc.,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA,,Yu,Kyung
99,10329,26,225.69,5867.94,11/15/2004 0:00,Envoyé,4,11,2004,Motos,S10_4698,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,,Yu,Kwai
100,10339,39,76.66,2989.74,11/23/2004 0:00,Envoyé,4,11,2004,Motos,S10_4698,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko
101,10362,22,166.54,3663.87,2005/05/01,Envoyé,1,1,2005,Motos,S10_4698,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,,Hirano,Juri
102,10374,22,174.28,3834.16,2005/02/02,Envoyé,1,2,2005,Motos,S10_4698,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony
103,10388,21,86.77,1822.16,2005/03/03,Envoyé,1,3,2005,Motos,S10_4698,FunGiftIdeas.com,5085552555,1785 First Street,,New Bedford,MA,50553,USA,,Benitez,Violeta
104,10403,66,180.09,11885.94,2005/08/04,Envoyé,2,4,2005,Motos,S10_4698,"UK Collectables, Ltd.",(171) 555-2282,Berkeley Gardens 12  Brewery,,Liverpool,,WX1 6LT,UK,EMEA,Devon,Elizabeth
105,10417,56,164.61,9218.16,5/13/2005 0:00,Contesté,2,5,2005,Motos,S10_4698,Euro+ Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego
106,10105,50,144.16,7208.0,2003/11/02,Envoyé,1,2,2003,Voitures classiques,S10_4757,Danish Wholesale Imports,31 12 3555,Vinbæltet 34,,Kobenhavn,,1734,Denmark,EMEA,Petersen,Jytte
107,10119,46,108.78,5003.88,4/28/2003 0:00,Envoyé,2,4,2003,Voitures classiques,S10_4757,Salzburg Collectables,6562-9555,Geislweg 14,,Salzburg,,5020,Austria,EMEA,Pipps,Georg
108,10129,33,133.28,4398.24,2003/12/06,Envoyé,2,6,2003,Voitures classiques,S10_4757,"Stylish Desk Decors, Co.",(171) 555-0297,35 King George,,London,,WX3 6FW,UK,EMEA,Brown,Ann
109,10143,49,114.23,5597.27,2003/10/08,Envoyé,3,8,2003,Voitures classiques,S10_4757,Mini Creations Ltd.,5085559555,4575 Hillside Dr.,,New Bedford,MA,50553,USA,,Tam,Wing C
110,10155,32,141.43,4525.76,2003/06/10,Envoyé,4,10,2003,Voitures classiques,S10_4757,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,,Helsinki,,21240,Finland,EMEA,Karttunen,Matti
111,10167,44,134.64,5924.16,10/23/2003 0:00,Annulé,4,10,2003,Voitures classiques,S10_4757,Scandinavian Gift Ideas,0695-34 6555,?kergatan 24,,Bräcke,,S-844 67,Sweden,EMEA,Larsson,Maria
112,10178,24,145.51,3492.24,2003/08/11,Envoyé,4,11,2003,Voitures classiques,S10_4757,Alpha Cognac,61.77.6555,1 rue Alsace-Lorraine,,Toulouse,,31000,France,EMEA,Roulet,Annette
113,10186,26,148.23,3853.97,11/14/2003 0:00,Envoyé,4,11,2003,Voitures classiques,S10_4757,"Double Decker Gift Stores, Ltd",(171) 555-7555,120 Hanover Sq.,,London,,WA1 1DP,UK,EMEA,Hardy,Thomas
114,10197,45,118.31,5323.95,11/26/2003 0:00,Envoyé,4,11,2003,Voitures classiques,S10_4757,Enaco Distributors,(93) 203 4555,"Rambla de Cataluña, 23",,Barcelona,,8022,Spain,EMEA,Saavedra,Eduardo
115,10209,39,133.27,5197.53,2004/09/01,Envoyé,1,1,2004,Voitures classiques,S10_4757,"Men 'R' US Retailers, Ltd.",2155554369,6047 Douglas Av.,,Los Angeles,CA,,USA,,Chandler,Michael
116,10222,49,122.38,5996.62,2/19/2004 0:00,Envoyé,1,2,2004,Voitures classiques,S10_4757,Collectable Mini Designs Co.,7605558146,361 Furth Circle,,San Diego,CA,91217,USA,,Thompson,Valarie
117,10248,20,145.5,2910.0,2004/07/05,Annulé,2,5,2004,Voitures classiques,S10_4757,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,,Yu,Kwai
118,10261,27,125.11,3377.97,6/17/2004 0:00,Envoyé,2,6,2004,Voitures classiques,S10_4757,Québec Home Shopping Network,(514) 555-8054,43 rue St. Laurent,,Montréal,Québec,H1J 1C3,Canada,,Fresnière,Jean
119,10273,30,116.93,3507.9,7/21/2004 0:00,Envoyé,3,7,2004,Voitures classiques,S10_4757,Petit Auto,(02) 5554 67,Rue Joseph-Bens 532,,Bruxelles,,B-1180,Belgium,EMEA,Dewey,Catherine
120,10283,25,119.68,2992.0,8/20/2004 0:00,Envoyé,3,8,2004,Voitures classiques,S10_4757,"Royal Canadian Collectables, Ltd.",(604) 555-4555,23 Tsawassen Blvd.,,Tsawassen,BC,T2F 8M4,Canada,,Lincoln,Elizabeth
121,10295,24,142.79,3426.96,2004/10/09,Envoyé,3,9,2004,Voitures classiques,S10_4757,Gifts4AllAges.com,6175559555,8616 Spinnaker Dr.,,Boston,MA,51003,USA,,Yoshido,Juri
122,10307,22,122.36,2691.92,10/14/2004 0:00,Envoyé,4,10,2004,Voitures classiques,S10_4757,"Classic Gift Ideas, Inc",2155554695,782 First Street,,Philadelphia,PA,71270,USA,,Cervantes,Francisca
123,10316,33,125.11,4128.63,2004/01/11,Envoyé,4,11,2004,Voitures classiques,S10_4757,giftsbymail.co.uk,(198) 555-8888,Garden House Crowther Way,,Cowes,Isle of Wight,PO31 7PJ,UK,EMEA,Bennett,Helen
